Activities
Activity,Session,"Min Participants","Max Participants","Transferred In",Refunded,Removed,"Transferred Out",Participants,"Waiting List","Start Date","Start Time","End Date","End Time"
"Group Swim Lessons","1- Stingray 2023",2,4,0,0,0,0,0,0,07/10/2023,"05:00 PM",07/13/2023,"05:30 PM"
"Group Swim Lessons","1a-  Goldfish 2023",2,4,0,0,0,0,4,2,07/10/2023,"01:30 PM",07/13/2023,"02:00 PM"
"Group Swim Lessons","1a- Guppy 2023",2,4,0,1,0,0,4,9,07/10/2023,"01:30 PM",07/13/2023,"02:00 PM"
"Group Swim Lessons","1a- Guppy 2023 (Duplicated)",2,4,0,0,0,0,0,0,07/10/2023,"01:30 PM",07/13/2023,"02:00 PM"
"Group Swim Lessons","1a- Guppy 2023 (Duplicated)",2,4,0,0,0,0,0,0,07/10/2023,"01:30 PM",07/13/2023,"02:00 PM"
"Group Swim Lessons","1a- Guppy 2023 (Duplicated)",2,4,0,0,0,0,0,0,07/10/2023,"01:30 PM",07/13/2023,"02:00 PM"
"Group Swim Lessons","1a- Guppy 2023 (Duplicated)",2,4,0,0,0,0,0,0,07/10/2023,"01:30 PM",07/13/2023,"02:00 PM"
"Group Swim Lessons","1b- Goldfish 2023",2,4,0,0,0,0,4,2,07/10/2023,"02:15 PM",07/13/2023,"02:45 PM"
"Group Swim Lessons","1b- Guppy 2023",2,4,0,1,0,0,4,4,07/10/2023,"02:15 PM",07/13/2023,"02:45 PM"
"Group Swim Lessons","1b- Pike 2023",2,4,0,0,0,0,4,9,07/10/2023,"05:00 PM",07/13/2023,"05:30 PM"
"Group Swim Lessons","1c- Goldfish 2023",2,4,0,0,0,0,4,7,07/10/2023,"04:30 PM",07/13/2023,"05:00 PM"
"Group Swim Lessons","1c- Guppy 2023",2,4,0,0,0,0,4,9,07/10/2023,"04:30 PM",07/13/2023,"05:00 PM"
"Group Swim Lessons","1S- Pike 2023",2,4,0,1,0,0,3,2,07/08/2023,"11:30 AM",07/29/2023,"12:00 PM"
"Group Swim Lessons","1Sa- Guppy 2023",2,4,0,0,0,0,4,20,07/08/2023,"10:15 AM",07/29/2023,"10:45 AM"
"Group Swim Lessons","1Sa- Water Discovery 2023",4,10,0,0,0,2,10,17,07/08/2023,"09:30 AM",07/29/2023,"10:00 AM"
"Group Swim Lessons","1Sa- Water Discovery 2023 (Duplicated)",4,10,0,0,0,0,0,0,07/08/2023,"09:30 AM",07/29/2023,"10:00 AM"
"Group Swim Lessons","1Sb- Goldfish 2023",2,4,0,0,0,0,4,12,07/08/2023,"11:00 AM",07/29/2023,"11:30 AM"
"Group Swim Lessons","1Sb- Guppy 2023",2,4,0,0,0,0,4,14,07/08/2023,"11:00 AM",07/29/2023,"11:30 AM"
"Group Swim Lessons","1Sb- Water Discovery 2023",4,10,2,0,0,0,10,20,07/08/2023,"10:15 AM",07/29/2023,"10:45 AM"
"Group Swim Lessons","2- Stingray 2023",2,4,0,1,0,0,0,0,07/17/2023,"05:00 PM",07/20/2023,"05:30 PM"
"Group Swim Lessons","2a-  Goldfish 2023",2,4,0,0,0,1,3,4,07/17/2023,"01:30 PM",07/20/2023,"02:00 PM"
"Group Swim Lessons","2a- Guppy 2023",2,4,0,0,0,0,4,3,07/17/2023,"01:30 PM",07/20/2023,"02:00 PM"
"Group Swim Lessons","2b- Goldfish 2023",2,4,0,1,0,0,3,3,07/17/2023,"02:15 PM",07/20/2023,"02:45 PM"
"Group Swim Lessons","2b- Guppy 2023",2,4,0,0,0,0,4,3,07/17/2023,"02:15 PM",07/20/2023,"02:45 PM"
"Group Swim Lessons","2b- Pike 2023",2,4,0,0,0,0,0,0,07/17/2023,"05:00 PM",07/20/2023,"05:30 PM"
"Group Swim Lessons","2c- Goldfish 2023",2,4,1,0,0,0,4,9,07/17/2023,"04:30 PM",07/20/2023,"05:00 PM"
"Group Swim Lessons","2c- Guppy 2023",2,4,0,1,0,1,3,7,07/17/2023,"04:30 PM",07/20/2023,"05:00 PM"
"Group Swim Lessons","2S- Pike 2023",2,4,0,1,0,0,3,0,08/05/2023,"11:30 AM",08/26/2023,"12:00 PM"
"Group Swim Lessons","2Sa- Goldfish 2023",2,4,0,1,0,0,3,3,08/05/2023,"10:15 AM",08/26/2023,"10:45 AM"
"Group Swim Lessons","2Sa- Guppy 2023",2,4,0,0,0,0,4,12,08/05/2023,"10:15 AM",08/26/2023,"10:45 AM"
"Group Swim Lessons","2Sa- Water Discovery 2023",4,10,0,1,0,0,10,11,08/05/2023,"09:30 AM",08/26/2023,"10:00 AM"
"Group Swim Lessons","2Sb- Goldfish 2023",2,4,0,0,0,0,4,0,08/05/2023,"11:00 AM",08/26/2023,"11:30 AM"
"Group Swim Lessons","2Sb- Guppy 2023",2,4,0,0,0,0,4,6,08/05/2023,"11:00 AM",08/26/2023,"11:30 AM"
"Group Swim Lessons","2Sb- Water Discovery 2023",4,10,0,0,0,0,10,10,08/05/2023,"10:15 AM",08/26/2023,"10:45 AM"
"Group Swim Lessons","3- Stingray 2023",2,4,0,1,0,0,0,0,07/24/2023,"05:00 PM",07/27/2023,"05:30 PM"
"Group Swim Lessons","3a-  Goldfish 2023",2,4,0,1,0,0,4,0,07/24/2023,"01:30 PM",07/27/2023,"02:00 PM"
"Group Swim Lessons","3a- Guppy 2023",2,4,0,0,0,0,4,3,07/24/2023,"01:30 PM",07/27/2023,"02:00 PM"
"Group Swim Lessons","3b- Goldfish 2023",2,4,0,3,0,0,3,0,07/24/2023,"02:15 PM",07/27/2023,"02:45 PM"
"Group Swim Lessons","3b- Guppy 2023",2,4,0,0,0,0,4,3,07/24/2023,"02:15 PM",07/27/2023,"02:45 PM"
